"PersonID","Name","Gender","BirthYear","DeathYear","BirthPlace","DeathPlace"
1,"Aaron","M","1358 BC","1235 BC","Egypt","Mt. Hor"
2,"Apollyon","M",,,,
3,"Abagtha","M",,,,
4,"Abda","M",,,,
5,"Abdeel","M",,,,
6,"Abdi","M",,,,
7,"Abdi","M",,,,
8,"Abdi","M",,,,
9,"Abdiel","M",,,,
10,"Abdon","M",,,,
11,"Abdon","M",,,,
12,"Abdon","M",,,,
13,"Abel","M","3938 BC","3880 BC","Eden","East of Eden"
14,"Abijah","M",,,,
15,"Abiah","M",,,,
16,"Abiah","F",,,,
17,"Abiah","M",,,,
18,"Abiel","M",,,,
19,"Ebiasaph","M",,,,
20,"Abiathar","M",,,,
21,"Abida","M",,,,
22,"Abidan","M",,,,
23,"Abiel","M",,,,
24,"Abiezer","M",,,,
25,"Abiezer","M",,,,
26,"Abigail","F",,,,
27,"Abigail","F",,,,
28,"Abihail","F",,,,
29,"Abihail","F",,,,
30,"Abihail","F",,,,
31,"Abihail","F",,,,
32,"Abihail","F",,,,
33,"Abihu","M",,,,
34,"Abihud","M",,,,
35,"Abijah","M",,,,
36,"Abijah","M",,,,
37,"Abijah","M",,,,
38,"Abijah","M",,"0907 BC","Jerusalem","Jerusalem"
39,"Abimael","M",,,,
40,"Abimelech","M",,,,
41,"Abimelech","M",,,,
42,"Abimelech","M",,,,
43,"Abinadab","M",,,,
44,"Abinadab","M",,,,
45,"Abinadab","M",,,,
46,"Abinoam","M",,,,
47,"Abiram","M",,,,
48,"Abiram","M",,,,
49,"Abishag","F",,,,
50,"Abishai","M",,,,
51,"Abishua","M",,,,
52,"Abishua","M",,,,
53,"Abishur","M",,,,
54,"Abital","F",,,,
55,"Abitub","M",,,,
56,"Abiud","M",,,,
57,"Abner","M",,,,
58,"Abraham","M","1995 BC","1820 BC",,
59,"Absalom","M",,"0976 BC","Hebron",
60,"Achaicus","M",,,,
61,"Achan","M",,,,
62,"Achbor","M",,,,
63,"Achbor","M",,,,
64,"Achbor","M",,,,
65,"Achim","M",,,,
66,"Achish","M",,,,
67,"Achsa","F",,,,
68,"Achsah","F",,,,
69,"Adah","F",,,,
70,"Adaiah","M",,,,
71,"Adaiah","M",,,,
72,"Adaiah","M",,,,
73,"Adaiah","M",,,,
74,"Adaiah","M",,,,
75,"Adaiah","M",,,,
76,"Adaiah","M",,,,
77,"Adalia","M",,,,
78,"Adam","M","3941 BC","3011 BC","Eden","East of Eden"
79,"Adbeel","M",,,,
80,"Addar","M",,,,
81,"Addi","M",,,,
82,"Ader","M",,,,
83,"Adiel","M",,,,
84,"Azareel","M",,,,
85,"Adiel","M",,,,
86,"Adin","M",,,,
87,"Adin","M",,,,
88,"Adina","M",,,,
89,"Adino","M",,,,
90,"Adlai","M",,,,
91,"Admatha","M",,,,
92,"Adna","M",,,,
93,"Adna","M",,,,
94,"Adnah","M",,,,
95,"Adnah","M",,,,
96,"Adoni-bezek","M",,,,
97,"Adonijah","M",,"0965 BC","Hebron","Jerusalem"
98,"Adonijah","M",,,,
99,"Adonijah","M",,,,
100,"Adonikam","M",,,,
101,"Adoni-zedek","M",,,,
102,"Adoniram","M",,,,
103,"Adrammelech","M",,,,
104,"Adrammelech","M",,,,
105,"Adriel","M",,,,
106,"Aeneas","M",,,,
107,"Agabus","M",,,,
108,"Agag","M",,,,
109,"Agag","M",,,,
110,"Agee","M",,,,
111,"Agrippa","M",,,,
112,"Agur","M",,,,
113,"Ahab","M",,,,
114,"Ahab","M",,,,
115,"Aharhel","M",,,,
116,"Ahasbai","M",,,,
117,"Ahasuerus","M",,,,
118,"Ahaz","M","0763 BC","0716 BC","Jerusalem","Jerusalem"
119,"Ahaz","M",,,,
120,"Ahaziah","M",,,,
121,"Ahaziah","M","0822 BC","0844 BC","Jerusalem","Jerusalem"
122,"Ahban","M",,,,
123,"Aher","M",,,,
124,"Ahi","M",,,,
125,"Ahi","M",,,,
126,"Ahimelech","M",,,,
127,"Ahiah","M",,,,
128,"Ahiah","M",,,,
129,"Ahiam","M",,,,
130,"Ahian","M",,,,
131,"Ahiezer","M",,,,
132,"Ahiezer","M",,,,
133,"Ahihud","M",,,,
134,"Ahihud","M",,,,
135,"Ahijah","M",,,,
136,"Ahijah","M",,,,
137,"Ahijah","M",,,,
138,"Ahijah","M",,,,
139,"Ahijah","M",,,,
140,"Ahijah","M",,,,
141,"Ahikam","M",,,,
142,"Ahilud","M",,,,
143,"Ahimaaz","M",,,,
144,"Ahimaaz","M",,,,
145,"Ahimaaz","M",,,,
146,"Ahiman","M",,,,
147,"Ahiman","M",,,,
148,"Ahimelech","M",,,,
149,"Ahimelech","M",,,,
150,"Mahath","M",,,,
151,"Ahinadab","M",,,,
152,"Ahinoam","F",,,,
153,"Ahinoam","F",,,,
154,"Ahio","M",,,,
155,"Ahio","M",,,,
156,"Ahio","M",,,,
157,"Ahira","M",,,,
158,"Ahiram","M",,,,
159,"Ahisamach","M",,,,
160,"Ahishahar","M",,,,
161,"Ahishar","M",,,,
162,"Ahithophel","M",,,,
163,"Ahitub","M",,,,
164,"Ahitub","M",,,,
165,"Ahitub","M",,,,
166,"Ahlai","M",,,,
167,"Ahlai","M",,,,
168,"Ahoah","M",,,,
169,"Aholah","F",,,,
170,"Aholiab","M",,,,
171,"Aholibah","F",,,,
172,"Aholibamah","F",,,,
173,"Aholibamah","F",,,,
174,"Ahumai","M",,,,
175,"Ahuzam","M",,,,
176,"Ahuzzath","M",,,,
177,"Aiah","M",,,,
178,"Ajah","M",,,,
179,"Akan","M",,,,
