"Primary","RelatedTo","RelType"
508,2208,"father"
516,1244,"spouseOrConcubine"
516,619,"mother"
516,824,"spouseOrConcubine"
516,2005,"spouseOrConcubine"
516,2088,"mother"
516,2544,"mother"
519,2228,"father"
519,2450,"spouseOrConcubine"
523,2917,"father"
528,1429,"father"
530,703,"father"
531,1237,"father"
531,2940,"spouseOrConcubine"
532,269,"spouseOrConcubine"
532,2939,"spouseOrConcubine"
533,1191,"father"
534,1885,"father"
535,2455,"father"
538,67,"father"
538,295,"father"
538,568,"spouseOrConcubine"
538,1198,"spouseOrConcubine"
538,1207,"spouseOrConcubine"
538,1282,"father"
538,1408,"father"
538,1571,"father"
538,701,"father"
538,871,"spouseOrConcubine"
538,889,"father"
538,1842,"spouseOrConcubine"
538,2010,"father"
538,2113,"father"
538,2507,"father"
538,2576,"father"
538,2675,"father"
538,2716,"father"
538,2866,"father"
537,68,"father"
537,1047,"father"
537,615,"father"
537,2117,"father"
537,2259,"spouseOrConcubine"
914,237,"father"
914,308,"father"
914,316,"father"
914,1322,"father"
914,1361,"father"
914,1510,"father"
914,1534,"father"
914,748,"father"
914,2738,"father"
914,2755,"father"
914,3036,"father"
915,2562,"mother"
919,1666,"father"
919,1702,"father"
921,61,"father"
929,1982,"father"
930,1247,"father"
932,3029,"father"
940,2257,"spouseOrConcubine"
942,1103,"father"
945,1629,"spouseOrConcubine"
950,1940,"spouseOrConcubine"
951,2527,"father"
952,409,"father"
954,335,"spouseOrConcubine"
954,1710,"spouseOrConcubine"
954,1843,"spouseOrConcubine"
954,1877,"mother"
954,1928,"spouseOrConcubine"
957,81,"father"
958,272,"father"
958,1423,"father"
958,3100,"father"
962,1461,"father"
962,2206,"father"
962,2380,"father"
962,2451,"father"
962,2452,"father"
962,2481,"father"
965,2598,"father"
966,3040,"father"
973,1579,"father"
984,451,"mother"
985,2103,"mother"
986,1520,"spouseOrConcubine"
986,2338,"spouseOrConcubine"
986,2484,"mother"
987,1675,"spouseOrConcubine"
987,2872,"spouseOrConcubine"
989,416,"spouseOrConcubine"
989,994,"spouseOrConcubine"
989,2762,"spouseOrConcubine"
990,1,"spouseOrConcubine"
990,1062,"spouseOrConcubine"
990,1162,"spouseOrConcubine"
990,2349,"mother"
991,1680,"spouseOrConcubine"
991,2768,"spouseOrConcubine"
992,2872,"spouseOrConcubine"
993,1209,"mother"
993,682,"spouseOrConcubine"
993,1751,"spouseOrConcubine"
993,1813,"spouseOrConcubine"
1,33,"father"
1,228,"spouseOrConcubine"
1,990,"spouseOrConcubine"
1,1062,"father"
1,1162,"spouseOrConcubine"
1,649,"father"
1,2128,"father"
4,102,"father"
5,2599,"father"
6,1788,"father"
7,1786,"father"
9,124,"father"
14,118,"spouseOrConcubine"
14,1499,"spouseOrConcubine"
14,1512,"mother"
14,1735,"spouseOrConcubine"
16,342,"mother"
16,1478,"spouseOrConcubine"
16,1520,"spouseOrConcubine"
16,2124,"spouseOrConcubine"
16,2338,"spouseOrConcubine"
19,352,"father"
19,1797,"father"
20,149,"father"
20,1693,"father"
23,12,"father"
23,156,"father"
23,575,"father"
23,1292,"father"
23,1784,"father"
23,1844,"spouseOrConcubine"
23,2078,"father"
23,2131,"father"
23,2181,"father"
23,2972,"father"
23,3111,"father"
26,939,"mother"
26,994,"spouseOrConcubine"
26,903,"spouseOrConcubine"
26,2126,"spouseOrConcubine"
26,2941,"spouseOrConcubine"
27,207,"mother"
27,907,"spouseOrConcubine"
29,53,"spouseOrConcubine"
29,122,"mother"
29,2105,"mother"
29,2542,"spouseOrConcubine"
30,1472,"father"
30,678,"father"
30,1704,"father"
30,2022,"father"
30,2059,"father"
30,2571,"father"
30,3059,"father"
31,1603,"mother"
31,2119,"spouseOrConcubine"
31,2412,"spouseOrConcubine"
31,2531,"mother"
31,2762,"spouseOrConcubine"
31,2980,"mother"
32,1343,"father"
28,3112,"father"
38,318,"father"
38,567,"spouseOrConcubine"
43,154,"father"
43,1063,"father"
43,2916,"father"
45,2763,"father"
45,2825,"spouseOrConcubine"
46,401,"father"
51,523,"father"
53,29,"spouseOrConcubine"
53,122,"father"
53,2105,"father"
54,994,"spouseOrConcubine"
54,903,"spouseOrConcubine"
54,2657,"mother"
54,2941,"spouseOrConcubine"
56,1087,"father"
57,666,"father"
58,1348,"spouseOrConcubine"
58,616,"father"
58,620,"father"
58,630,"father"
58,1685,"father"
58,1782,"spouseOrConcubine"
58,1978,"father"
58,2075,"father"
58,2401,"spouseOrConcubine"
58,2473,"spouseOrConcubine"
58,2727,"father"
58,2841,"spouseOrConcubine"
58,3086,"father"
59,2823,"father"
59,2902,"spouseOrConcubine"
62,576,"father"
64,1181,"father"
65,1164,"father"
68,1778,"spouseOrConcubine"
68,2259,"spouseOrConcubine"
