"StrongsID","Definition","Exegesis","Language","Pronunciation","Transliteration","Unicode"
"G1"," the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: ","of Hebrew origin","greek","""al'-fah""","""A""","""Α"" "
"G10"," Abihud, an Israelite","of Hebrew origin (H31)","greek","""ab-ee-ood'""","""Abioúd""","""Ἀβιούδ"" "
"G100"," plumpness, i.e. (figuratively) liberality","from <greek BETA=""A(DRO/S"" unicode=""ἁδρός"" translit=""hadrós (stout)","greek","""had-rot'-ace""","""hadrótēs""","""ἁδρότης"" "
"G1000"," a throw (as a measure of distance)","from G906","greek","""bol-ay'""","""bolḗ""","""βολή"" "
"G1001"," to heave the lead","from G1002","greek","""bol-id'-zo""","""bolízō""","""βολίζω"" "
"G1002"," a missile, i.e. javelin","from G906","greek","""bol-ece'""","""bolís""","""βολίς"" "
"G1003"," Booz, (i.e. Boaz), an Israelite","of Hebrew origin (H1162)","greek","""bo-oz'""","""Boóz""","""Βοόζ"" "
"G1004"," mud","of uncertain derivation","greek","""bor'-bor-os""","""bórboros""","""βόρβορος"" "
"G1005"," the north (properly, wind)","of uncertain derivation","greek","""bor-hras'""","""borrhâs""","""βοῤῥᾶς"" "
"G1006"," to pasture; by extension to, fodder; reflexively, to graze","a prolonged form of a primary verb (compare G977, G1016)","greek","""bos'-ko""","""bóskō""","""βόσκω"" "
"G1007"," Bosor (i.e. Beor), a Moabite","of Hebrew origin (H1160)","greek","""bos-or'""","""Bosór""","""Βοσόρ"" "
"G1008"," herbage (as if for grazing)","from G1006","greek","""bot-an'-ay""","""botánē""","""βοτάνη"" "
"G1009"," a bunch (of grapes)","of uncertain derivation","greek","""bot'-rooce""","""bótrys""","""βότρυς"" "
"G101"," to be unable, i.e. (passively) impossible","from G102","greek","""ad-oo-nat-eh'-o""","""adynatéō""","""ἀδυνατέω"" "
"G1010"," an adviser, i.e. (specially) a councillor or member of the Jewish Sanhedrin","from G1011","greek","""bool-yoo-tace'""","""bouleutḗs""","""βουλευτής"" "
"G1011"," to advise, i.e. (reflexively) deliberate, or (by implication) resolve","from G1012","greek","""bool-yoo'-o""","""bouleúō""","""βουλεύω"" "
"G1012"," volition, i.e. (objectively) advice, or (by implication) purpose","from G1014","greek","""boo-lay'""","""boulḗ""","""βουλή"" "
"G1013"," a resolve","from G1014","greek","""boo'-lay-mah""","""boúlēma""","""βούλημα"" "
"G1014"," to ""will,"" i.e. (reflexively) be willing","middle voice of a primary verb","greek","""boo'-lom-ahee""","""boúlomai""","""βούλομαι"" "
"G1015"," a hillock","probably of foreign origin","greek","""boo-nos'""","""bounós""","""βουνός"" "
"G1016"," an ox (as grazing), i.e. an animal of that species (""beef"")","probably from the base of G1006","greek","""booce""","""boûs""","""βοῦς"" "
"G1017"," an award (of arbitration), i.e. (specially) a prize in the public games","from <greek BETA=""BRABEU/S"" unicode=""βραβεύς"" translit=""brabeús (an umpire of uncertain derivation)","greek","""brab-i'-on""","""brabeîon""","""βραβεῖον"" "
"G1018"," to arbitrate, i.e. (genitive case) to govern (figuratively, prevail)","from the same as G1017","greek","""brab-yoo'-o""","""brabeúō""","""βραβεύω"" "
"G1019"," to delay","from G1021","greek","""brad-oo'-no""","""bradýnō""","""βραδύνω"" "
"G102"," unable, i.e. weak (literally or figuratively); passively, impossible","from G1 (as a negative particle) and G1415","greek","""ad-oo'-nat-os""","""adýnatos""","""ἀδύνατος"" "
"G1020"," to sail slowly","from G1021 and a prolonged form of G4126","greek","""brad-oo-plo-eh'-o""","""bradyploéō""","""βραδυπλοέω"" "
"G1021"," slow; figuratively, dull","of uncertain affinity","greek","""brad-ooce'""","""bradýs""","""βραδύς"" "
"G1022"," tardiness","from G1021","greek","""brad-oo'-tace""","""bradýtēs""","""βραδύτης"" "
"G1023"," the arm, i.e. (figuratively) strength","properly, comparative of G1024, but apparently in the sense of <greek BETA=""BRA/SSW"" unicode=""βράσσω"" translit=""brássō (to wield)","greek","""brakh-ee'-own""","""brachíōn""","""βραχίων"" "
"G1024"," short (of time, place, quantity, or number)","of uncertain affinity","greek","""brakh-ooce'""","""brachýs""","""βραχύς"" "
"G1025"," an infant (properly, unborn) literally or figuratively","of uncertain affinity","greek","""bref'-os""","""bréphos""","""βρέφος"" "
"G1026"," to moisten (especially by a shower)","a primary verb","greek","""brekh'-o""","""bréchō""","""βρέχω"" "
"G1027"," thunder","akin to <greek BETA=""BRE/MW"" unicode=""βρέμω"" translit=""brémō (to roar)","greek","""bron-tay'""","""brontḗ""","""βροντή"" "
"G1028"," rain","from G1026","greek","""brokh-ay'""","""brochḗ""","""βροχή"" "
"G1029"," a noose","of uncertain derivation","greek","""brokh'-os""","""bróchos""","""βρόχος"" "
"G103"," to sing","a primary verb","greek","""ad'-o""","""áidō""","""ᾄδω"" "
"G1030"," a grating (of the teeth)","from G1031","greek","""broog-mos'""","""brygmós""","""βρυγμός"" "
"G1031"," to grate the teeth (in pain or rage)","a primary verb","greek","""broo'-kho""","""brýchō""","""βρύχω"" "
"G1032"," to swell out, i.e. (by implication) to gush","a primary verb","greek","""broo'-o""","""brýō""","""βρύω"" "
"G1033"," food (literally or figuratively), especially (ceremonially) articles allowed or forbidden by the Jewish law","from the base of G977","greek","""bro'-mah""","""brōma""","""βρῶμα"" "
"G1034"," eatable","from G1035","greek","""bro'-sim-os""","""brṓsimos""","""βρώσιμος"" "
"G1035"," (abstractly) eating (literally or figuratively); by extension (concretely) food (literally or figuratively)","from the base of G977","greek","""bro'-sis""","""brōsis""","""βρῶσις"" "
"G1036"," to sink; by implication, to drown","from G1037","greek","""boo-thid'-zo""","""bythízō""","""βυθίζω"" "
"G1037"," depth, i.e. (by implication) the sea","a variation of G899","greek","""boo-thos'""","""bythós""","""βυθός"" "
"G1038"," a tanner","from <greek BETA=""BU/RSA"" unicode=""βύρσα"" translit=""býrsa (a hide)","greek","""boorce-yooce'""","""byrseús""","""βυρσεύς"" "
"G1039"," made of linen (neuter a linen cloth)","from G1040","greek","""boos'-see-nos""","""býssinos""","""βύσσινος"" "
"G104"," ""ever,"" by qualification regularly; by implication, earnestly","from an obsolete primary noun (apparently meaning continued duration)","greek","""ah-eye'""","""aeí""","""ἀεί"" "
"G1040"," white linen","of Hebrew origin (H948)","greek","""boos'-sos""","""býssos""","""βύσσος"" "
"G1041"," properly, a stand, i.e. (specially) an altar","from the base of G939","greek","""bo'-mos""","""bōmós""","""βωμός"" "
"G1042"," the knoll; gabbatha, a vernacular term for the Roman tribunal in Jerusalem","of Chaldee origin (compare H1355)","greek","""gab-bath-ah'""","""gabbathá""","""γαββαθά"" "
"G1043"," Gabriel, an archangel","of Hebrew origin (H1403)","greek","""gab-ree-ale'""","""Gabriḗl""","""Γαβριήλ"" "
"G1044"," an ulcer (""gangrene"")","from <greek BETA=""GRAI/NW"" unicode=""γραίνω"" translit=""graínō (to gnaw)","greek","""gang'-grahee-nah""","""gángraina""","""γάγγραινα"" "
"G1045"," Gad, a tribe of Israelites","of Hebrew origin (H1410)","greek","""gad""","""Gád""","""Γάδ"" "
"G1046"," a Gadarene or inhabitant of Gadara","from <greek BETA=""*GADARA/"" unicode=""Γαδαρά"" translit=""Gadará (a town east of the Jordan)","greek","""gad-ar-ay-nos'""","""Gadarēnós""","""Γαδαρηνός"" "
"G1047"," a treasure","of foreign origin","greek","""gad'-zah""","""gáza""","""γάζα"" "
"G1048"," Gazah (i.e. Azzah), a place in Palestine","of Hebrew origin (H5804)","greek","""gad'-zah""","""Gáza""","""Γάζα"" "
"G1049"," a treasure-house, i.e. a court in the temple for the collection-boxes","from G1047 and G5438","greek","""gad-zof-oo-lak'-ee-on""","""gazophylákion""","""γαζοφυλάκιον"" "
"G105"," an eagle (from its wind-like flight)","from the same as G109","greek","""ah-et-os'""","""aetós""","""ἀετός"" "
"G1050"," Gaius (i.e. Caius), a Christian","of Latin origin","greek","""gah'-ee-os""","""Gáïos""","""Γάϊος"" "
"G1051"," milk (figuratively)","of uncertain affinity","greek","""gal'-ah""","""gála""","""γάλα"" "
"G1052"," a Galatian or inhabitant of Galatia","from G1053","greek","""gal-at'-ace""","""Galátēs""","""Γαλάτης"" "
"G1053"," Galatia, a region of Asia","of foreign origin","greek","""gal-at-ee'-ah""","""Galatía""","""Γαλατία"" "
"G1054"," Galatic or relating to Galatia","from G1053","greek","""gal-at-ee-kos'""","""Galatikós""","""Γαλατικός"" "
"G1055"," tranquillity","of uncertain derivation","greek","""gal-ay'-nay""","""galḗnē""","""γαλήνη"" "
"G1056"," Galilæa (i.e. the heathen circle), a region of Palestine","of Hebrew origin (H1551)","greek","""gal-il-ah'-yah""","""Galilaía""","""Γαλιλαία"" "
"G1057"," Galilean or belonging to Galilea","from G1056","greek","""gal-ee-lah'-yos""","""Galilaîos""","""Γαλιλαῖος"" "
"G1058"," Gallion (i.e. Gallio), a Roman officer","of Latin origin","greek","""gal-lee'-own""","""Gallíōn""","""Γαλλίων"" "
"G1059"," Gamaliel (i.e. Gamliel), an Israelite","of Hebrew origin (H1583)","greek","""gam-al-ee-ale'""","""Gamaliḗl""","""Γαμαλιήλ"" "
"G106"," unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week","from G1 (as a negative particle) and G2219","greek","""ad'-zoo-mos""","""ázymos""","""ἄζυμος"" "
"G1060"," to wed (of either sex)","from G1062","greek","""gam-eh'-o""","""gaméō""","""γαμέω"" "
"G1061"," to espouse (a daughter to a husband)","from G1062","greek","""gam-is'-ko""","""gamískō""","""γαμίσκω"" "
"G1062"," nuptials","of uncertain affinity","greek","""gam'-os""","""gámos""","""γάμος"" "
"G1063"," properly, assigning a reason (used in argument, explanation or intensification; often with other particles)","a primary particle","greek","""gar""","""gár""","""γάρ"" "
"G1064"," the stomach; by analogy, the matrix; figuratively, a gourmand","of uncertain derivation","greek","""gas-tare'""","""gastḗr""","""γαστήρ"" "
"G1065",":--and besides, doubtless, at least, yet.~","a primary particle of emphasis or qualification (often used with other particles prefixed)</strongs_derivation>","greek","""gheh""","""gé""","""γέ"" "
"G1066"," Gedeon (i.e. Gid(e)on), an Israelite","of Hebrew origin (H1439)","greek","""ghed-eh-own'""","""Gedeṓn""","""Γεδεών"" "
"G1067"," valley of (the son of) Hinnom; ge-henna (or Ge-Hinnom), a valley of Jerusalem, used (figuratively) as a name for the place (or state) of everlasting punishment","of Hebrew origin (H1516 and H2011)","greek","""gheh'-en-nah""","""géenna""","""γέεννα"" "
